OTUID,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Domain,Phylum,Class,Order,Family,Genus,Species
OUT_15,51,45,14,29,39,37,33,22,46,38,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. 2BSG-MG-11
OUT_16,35,56,64,2,24,51,47,2,32,40,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter sp. RKM4
OUT_17,6,109,31,3,16,62,61,13,1,6,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Enterobacter sp. NISOC_03
OUT_18,43,33,12,38,29,47,33,20,22,21,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. FF4
OUT_19,6,87,0,4,5,109,69,1,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Aquicella,uncultured bacterium
OUT_20,32,25,73,9,21,27,10,16,33,18,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,uncultured bacterium
OUT_21,5,49,46,4,14,47,72,8,3,8,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,beta proteobacterium PI_GH1.1.B10
OUT_22,30,25,17,35,21,17,10,25,32,28,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,Lysinibacillus massiliensis
OUT_23,24,7,9,63,11,17,12,55,21,19,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,uncultured compost bacterium
OUT_24,31,19,37,21,25,32,17,29,12,14,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophaga,Chitinophaga sp. LWH185
OUT_25,31,23,11,31,23,22,23,12,32,16,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,uncultured compost bacterium
OUT_26,14,31,23,9,8,35,38,29,19,14,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. MJM6929
OUT_27,7,12,27,5,2,31,52,57,9,3,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Promicromonosporaceae,Promicromonospora,Promicromonospora sp. CPCC100077
OUT_28,5,14,26,4,6,6,18,16,58,49,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Oceanobacillus,Ornithinibacillus sp. GIESS003
OUT_29,0,5,0,4,0,35,156,1,0,0,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. JBL-5
OUT_30,30,18,6,32,16,17,13,13,32,20,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,uncultured Bacillus sp.
OUT_31,17,21,11,31,26,15,9,16,26,20,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,uncultured bacterium
OUT_32,18,19,17,20,21,38,11,9,19,19,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosospira,unidentified
OUT_33,23,20,10,19,27,11,16,11,28,21,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,uncultured bacterium
OUT_34,0,6,0,135,9,2,3,28,0,0,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,uncultured bacterium
OUT_35,5,15,16,24,4,14,15,31,33,19,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens
OUT_36,0,1,0,0,0,38,135,1,1,0,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. Aac-39
OUT_37,3,19,25,3,7,4,12,17,41,44,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Oceanobacillus,Ornithinibacillus sp. J8B(2010)
OUT_38,22,22,5,26,25,14,16,9,16,19,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,Bacillus sp. IARI-MB-13
OUT_39,13,13,12,20,35,22,11,9,17,20,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured bacterium
OUT_40,7,22,37,1,17,18,18,3,25,21,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured Kaistobacter sp.
OUT_41,16,9,13,41,24,12,11,11,17,15,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,uncultured bacterium
OUT_42,4,7,65,2,3,21,5,35,10,16,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,myxobacterium NU-2
OUT_43,10,27,24,9,13,14,21,11,21,13,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium sp.
OUT_44,3,23,36,0,3,50,35,5,0,4,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium thalpophilum
OUT_45,3,20,32,4,16,11,11,37,18,5,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planococcus,unidentified marine bacterioplankton
OUT_46,15,11,77,3,17,7,6,4,10,7,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Noviherbaspirillum,uncultured bacterium
OUT_47,9,21,23,2,12,18,12,34,15,10,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,uncultured bacterium
OUT_48,15,12,13,16,23,16,15,8,21,15,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured Sphingomonadaceae bacterium
OUT_49,14,17,5,24,15,25,15,9,13,14,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,uncultured bacterium
OUT_50,2,17,11,2,2,19,12,76,6,4,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. PN403
OUT_51,15,12,32,4,17,15,15,8,19,14,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured bacterium
OUT_52,19,8,8,28,7,13,17,12,13,19,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus thermolactis
OUT_53,0,15,82,0,0,7,13,24,0,1,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas sp. L54
OUT_54,8,23,6,8,6,19,20,35,10,6,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. GS09
OUT_55,13,14,18,9,10,16,19,12,10,19,Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,Methylobacillus,uncultured bacterium
OUT_56,15,21,6,12,15,15,14,6,18,17,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Microvirga,uncultured bacterium
OUT_57,1,42,23,0,7,29,29,2,2,4,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. ljh-30
OUT_58,18,25,17,5,13,16,15,9,10,10,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. WMMB 539
OUT_59,7,7,5,48,11,7,10,25,10,7,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,Thermoactinomyces,Thermoactinomyces sp. A60
OUT_60,17,12,13,1,21,16,10,3,19,22,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Lysobacter sp. KNUC361
OUT_61,4,23,34,2,5,26,21,7,5,6,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,uncultured alpha proteobacterium
OUT_62,19,22,8,8,14,15,13,12,13,7,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,uncultured bacterium
OUT_63,11,12,4,22,7,20,15,15,15,8,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,uncultured bacterium
OUT_64,11,26,6,2,13,20,21,3,17,10,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Tumebacillus,uncultured Tumebacillus sp.
OUT_65,13,18,7,14,21,12,16,6,12,10,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured bacterium
OUT_66,9,21,8,16,13,12,16,9,12,11,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Lysinimonas,uncultured actinobacterium
OUT_67,12,7,4,31,15,11,15,11,8,12,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured bacterium
OUT_68,16,13,0,1,32,6,11,3,31,9,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,uncultured bacterium
OUT_69,18,5,6,15,24,4,4,14,14,17,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadales Incertae Sedis,Acidibacter,uncultured bacterium
OUT_70,6,8,8,14,14,9,8,11,23,19,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,gamma proteobacterium CH14i
OUT_71,21,7,5,11,8,12,20,15,12,6,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. KSI 1420
OUT_72,13,18,3,34,11,4,9,10,5,8,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Solibacillus,uncultured bacterium
OUT_73,16,7,3,26,19,10,7,7,15,5,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus sp. NBM49,Geobacillus sp. NBM49
OUT_74,11,16,13,5,7,21,7,7,13,14,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosospira,Nitrosovibrio tenuis
OUT_75,1,6,74,0,5,1,3,18,0,5,Bacteria,Actinobacteria,Actinobacteria,Glycomycetales,Glycomycetaceae,Glycomyces,uncultured bacterium
OUT_76,21,5,9,27,11,3,9,10,9,8,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,Actinomadura sp. 28a-77-2
OUT_77,10,10,1,22,14,11,9,10,8,15,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Solibacillus,uncultured bacterium
OUT_78,10,13,16,7,14,8,17,7,10,5,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,uncultured bacterium
OUT_79,13,12,2,10,15,6,13,11,15,9,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,uncultured bacterium
OUT_80,2,7,22,3,2,10,9,7,38,5,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planomicrobium,uncultured bacterium
OUT_81,19,6,6,12,20,10,6,8,13,5,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,uncultured bacterium
OUT_82,25,30,1,2,13,11,16,3,1,2,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Tumebacillus,uncultured Alicyclobacillaceae bacterium
OUT_83,15,9,5,13,12,10,9,8,9,12,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. JC248
OUT_84,11,15,5,19,14,7,11,11,3,5,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus psychrosaccharolyticus
OUT_85,10,12,8,4,11,4,11,3,17,21,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,uncultured bacterium
OUT_86,0,0,89,0,0,2,3,1,3,3,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Salinicola,uncultured Halomonas sp.
OUT_87,7,15,8,3,14,6,13,8,14,10,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Shinella,uncultured bacterium
OUT_88,10,10,14,5,7,14,16,6,9,6,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. XL2006
OUT_89,8,13,9,6,9,19,6,1,10,16,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,uncultured bacterium
OUT_90,11,9,17,3,19,4,9,8,6,10,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured alpha proteobacterium
OUT_91,6,17,16,4,7,11,11,6,9,9,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured alpha proteobacterium
OUT_92,13,5,5,18,11,4,9,8,11,11,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,bacterium SIT5
OUT_93,0,0,0,85,0,0,0,10,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteibacter,uncultured bacterium
OUT_94,17,6,15,7,10,15,8,8,6,2,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Flavisolibacter,uncultured Bacteroidetes bacterium
OUT_95,12,13,6,14,11,11,8,5,4,9,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,uncultured Planococcus sp.
OUT_96,5,11,13,3,3,10,27,12,8,1,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Promicromonosporaceae,Cellulosimicrobium,Cellulosimicrobium sp. Ljn-9
OUT_97,0,0,0,1,0,0,4,87,0,1,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus sp. R12-2
OUT_98,1,20,4,0,0,40,19,4,3,1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Oceanobacillus,Bacillus sp. MSP13
OUT_99,5,7,4,22,15,12,11,12,2,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium sp. L1E07A
OUT_100,1,1,1,13,3,15,55,1,1,0,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,Pseudonocardia yunnanensis
OUT_101,13,12,4,3,3,26,16,9,4,1,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. HXG-D2
OUT_102,4,18,9,4,6,8,18,4,11,8,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,uncultured bacterium
OUT_103,5,3,16,4,10,2,0,13,16,19,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadales Incertae Sedis,Acidibacter,uncultured bacterium
OUT_104,1,5,12,2,1,6,7,12,27,15,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,uncultured bacterium
OUT_105,18,3,15,1,12,2,8,10,12,7,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Promicromonosporaceae,Promicromonospora,uncultured bacterium
OUT_106,1,11,24,0,0,23,23,5,0,1,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio sp. 1806
OUT_107,3,4,6,0,6,23,42,0,2,2,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,uncultured Brevibacillus sp.
OUT_108,7,8,5,12,23,6,11,9,4,2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,Hyphomicrobium sp. LMAP-1
OUT_109,8,13,8,4,8,8,14,7,9,7,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Geodermatophilaceae,Blastococcus,uncultured Blastococcus sp.
OUT_110,2,13,18,4,4,19,13,4,6,2,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. IMER-A2-21
OUT_111,3,16,8,6,12,12,4,4,9,9,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus thuringiensis
OUT_112,15,13,3,1,9,14,15,2,3,8,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Shinella,Shinella sp. CTN-13
OUT_113,9,19,7,2,9,9,12,6,5,3,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Flavisolibacter,uncultured soil bacterium
OUT_114,7,10,9,5,9,5,9,13,8,4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,uncultured bacterium
OUT_115,7,13,18,2,8,17,4,3,4,1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,uncultured Herbaspirillum sp.
OUT_116,9,5,2,1,12,4,12,13,9,10,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,uncultured bacterium
OUT_117,6,9,6,4,6,5,7,6,22,5,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planomicrobium,uncultured bacterium
OUT_118,9,7,3,7,6,8,14,4,7,11,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Kribbella,uncultured bacterium
OUT_119,8,13,16,2,5,3,4,6,5,13,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,uncultured bacterium
OUT_120,9,1,3,10,12,2,1,21,4,11,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Rhodanobacter,uncultured bacterium
OUT_121,8,14,13,1,4,12,14,2,3,2,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Kaistobacter sp. P-55
OUT_122,5,11,2,13,14,8,10,2,4,4,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus koreensis
OUT_123,10,6,3,13,6,8,6,9,5,4,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,uncultured bacterium
OUT_124,8,2,9,5,4,7,7,6,12,10,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,uncultured organism
OUT_125,2,9,13,2,5,10,4,4,11,10,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured bacterium
OUT_126,5,14,3,5,7,12,8,5,3,7,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,Unknown Family,Bryobacter,Acidobacteria bacterium WX72
OUT_127,5,7,6,9,4,4,4,8,14,8,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,Pseudoxanthomonas koreensis
OUT_128,15,6,1,7,10,5,9,8,3,4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium elkanii
OUT_129,3,14,8,2,4,15,17,3,0,2,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,uncultured bacterium
OUT_130,8,9,4,3,9,11,9,3,7,5,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,uncultured Gemmatimonadetes bacterium
OUT_131,12,0,1,7,15,2,0,9,3,19,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,uncultured bacterium
OUT_132,5,5,2,9,7,7,9,13,5,4,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,uncultured bacterium
OUT_133,3,10,1,3,10,7,15,7,4,5,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium,unidentified
OUT_134,3,2,9,8,4,7,7,6,9,10,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,uncultured bacterium
OUT_135,3,2,5,23,6,7,4,10,1,3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,uncultured bacterium
OUT_136,8,2,5,1,3,7,5,9,17,6,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planomicrobium,Staphylococcus sp. LS255
OUT_137,4,3,4,18,4,6,3,11,9,0,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces antibioticus
OUT_138,9,7,5,2,8,9,8,3,10,1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. XWD3-5
OUT_139,4,9,7,3,8,5,2,11,9,4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,uncultured bacterium
OUT_140,0,1,2,18,7,4,5,24,1,0,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Rhodanobacter,uncultured bacterium
OUT_141,6,4,4,9,11,7,13,3,1,3,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. CT 3-07
OUT_142,5,12,0,17,5,5,2,7,5,3,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,uncultured bacterium
OUT_143,6,8,3,5,11,6,5,4,9,4,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured bacterium
OUT_144,1,1,0,37,4,1,3,11,2,1,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Rhodanobacter,uncultured bacterium
OUT_145,2,1,8,0,1,1,1,9,27,11,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,uncultured bacterium
OUT_146,6,7,5,1,3,12,9,6,6,5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Microvirga,uncultured bacterium
OUT_147,4,4,6,3,10,11,10,2,5,5,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri SDM-LAC
OUT_148,8,7,2,12,2,6,3,11,3,5,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Kribbella,Kribbella sp. N07W-1801
OUT_149,9,4,5,4,6,6,5,5,7,7,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,Unknown Family,Bryobacter,uncultured Acidobacteria bacterium
OUT_150,5,6,5,17,6,2,6,5,2,4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Skermanella,uncultured bacterium
OUT_151,6,4,8,11,7,4,3,5,5,5,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,uncultured bacterium
OUT_152,11,8,4,0,10,8,8,1,2,6,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas sp. C3-10
OUT_153,0,4,42,0,1,2,4,3,1,0,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,uncultured bacterium
OUT_154,9,0,1,15,5,8,7,5,4,3,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,uncultured bacterium
OUT_155,1,1,22,3,1,0,3,1,14,11,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Microbulbiferaceae,Microbulbifer,Microbulbifer variabilis
OUT_156,0,3,8,15,2,9,5,7,6,1,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,uncultured bacterium
OUT_157,9,10,4,2,5,7,6,0,6,6,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Skermanella,uncultured bacterium
OUT_158,1,11,12,1,4,7,4,3,7,5,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,uncultured Gemmatimonas sp.
OUT_159,4,2,2,6,10,2,2,2,9,16,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured Sphingomonas sp.
OUT_160,5,5,5,0,6,16,9,2,5,2,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. PFS-5
